AnimalID,NameBinary,NameLen,NameFreq,AnimalTypeBinary,AgeuponOutcomeProc,AgePrec,Month,Day,Hour,TimeOfDayPrec,YearPeriodPrec,Weekday,DayName,Intact,Sex,BreedPrec,ColorPrec,OutcomeTypePrec
A712750,1,5,31,0,30,1,10,3,15,2,2,1,5,0,0,106,13,5
A718832,1,3,2,1,180,1,1,15,17,3,1,0,4,1,0,28,22,1
A698777,1,5,58,1,1825,5,3,25,18,3,1,0,2,1,0,79,2,1
A715348,1,7,1,0,60,1,11,21,13,2,2,1,5,1,0,106,21,1
A708666,1,3,34,0,2555,4,7,30,14,2,4,0,3,1,1,53,26,4
A718535,0,3,10916,0,1095,3,1,1,13,2,1,0,4,1,0,106,23,3
A707341,1,6,25,1,120,1,7,15,15,2,4,0,2,0,1,37,27,5
A682532,0,3,10916,0,60,1,7,3,17,3,4,0,3,1,0,106,5,1
A666825,1,5,13,1,1825,5,11,8,13,2,2,0,4,1,1,99,25,4
A699723,1,7,4,1,1095,3,4,11,16,3,3,1,5,1,1,79,25,5
A668626,0,3,10916,1,1095,3,12,6,14,2,5,0,4,0,1,37,1,3
A657085,1,8,1,1,1095,3,10,24,11,2,2,0,3,1,1,60,25,4
A682413,0,3,10916,0,60,1,7,2,13,2,4,0,2,0,1,106,26,5
A702655,1,4,5,0,120,1,8,11,0,4,4,0,1,1,1,106,27,5
A707503,0,3,10916,0,21,1,7,14,12,2,4,0,1,0,1,106,25,5
A697199,1,5,2,0,2555,4,4,4,17,3,3,1,5,1,0,106,26,1
A705598,0,3,10916,0,60,1,6,23,13,2,4,0,1,0,1,106,13,5
A668388,1,4,128,0,60,1,12,9,15,2,5,0,0,0,0,106,25,5
A671181,0,3,10916,0,1460,3,1,21,15,2,1,0,1,0,1,114,27,5
A676766,1,3,3,0,730,2,5,28,15,2,3,0,2,1,1,106,27,1
A686716,1,7,26,1,4380,5,8,27,7,1,4,0,2,1,1,91,3,4
A684475,1,5,148,0,3285,4,8,5,11,2,4,0,1,1,0,106,2,4
A701804,0,3,10916,0,21,1,5,5,11,2,3,0,1,0,0,106,27,5
A697852,1,5,6,1,150,1,3,9,17,3,1,0,0,1,0,97,27,1
A666092,0,3,10916,1,2190,5,10,30,15,2,2,0,2,0,1,35,22,3
A684050,0,3,10916,0,365,2,7,28,9,1,4,0,0,0,0,106,4,5
A710107,1,4,2,0,90,1,10,19,18,3,2,0,0,1,0,106,25,1
A682347,0,3,10916,0,21,1,6,26,17,3,4,0,3,0,0,106,26,5
A701627,1,4,7,1,730,3,5,14,12,2,3,0,3,1,1,97,17,1
A690902,1,4,8,0,60,1,11,18,16,3,2,0,1,1,0,106,13,1
A712979,0,3,10916,0,7,1,10,4,15,2,2,1,6,0,1,106,27,5
A707687,1,7,5,0,60,1,8,16,13,2,4,1,6,1,0,106,23,1
A683443,0,3,10916,1,365,3,7,18,16,3,4,0,4,0,1,79,6,5
A597644,1,4,88,1,1460,5,9,16,14,2,2,0,1,1,0,97,6,4
A682784,1,5,48,1,730,3,7,7,12,2,4,0,0,1,1,91,25,1
A709863,1,11,1,0,365,2,8,19,13,2,4,0,2,0,1,106,13,5
A678506,1,12,1,1,4015,5,5,9,18,3,3,0,4,1,0,79,25,3
A713029,1,5,14,0,30,1,10,6,15,2,2,0,1,0,0,106,27,5
A712236,1,5,195,1,730,3,9,23,11,2,2,0,2,1,0,80,6,1
A683961,0,3,10916,0,14,1,7,17,17,3,4,0,3,2,2,106,27,5
A714740,1,8,23,1,2190,5,10,27,18,3,2,0,1,1,0,79,2,4
A691847,1,4,9,1,180,1,12,8,15,2,5,0,0,1,1,37,27,5
A711392,1,5,82,1,60,1,9,8,15,2,2,0,1,0,0,91,24,5
A705258,0,3,10916,0,60,1,6,16,9,1,4,0,1,2,2,106,25,5
A678172,1,5,195,1,365,3,5,10,18,3,3,1,5,1,0,79,11,1
A676736,1,5,3,1,60,1,4,30,17,3,3,0,2,1,1,37,25,1
A701575,1,8,1,1,730,3,1,29,14,2,1,0,4,1,1,60,25,5
A674913,0,3,10916,1,1095,3,3,25,18,3,1,0,1,1,0,10,2,1
A706446,1,7,7,0,365,2,8,18,11,2,4,0,1,0,0,106,27,4
A669540,1,7,2,1,1460,5,12,28,16,3,5,1,5,1,0,79,26,4
A709371,1,4,47,1,730,3,8,19,14,2,4,0,2,1,0,94,6,5
A681410,1,3,1,0,90,1,6,22,17,3,4,1,6,1,0,115,25,1
A675021,0,3,10916,0,365,2,3,21,17,3,1,0,4,0,0,106,23,3
A704179,1,4,60,1,60,1,6,7,16,3,4,1,6,1,1,72,27,1
A717839,0,3,10916,0,730,2,12,20,19,3,5,1,6,1,0,106,27,5
A700740,1,7,163,1,365,3,12,17,12,2,5,0,3,1,1,25,2,1
A712376,0,3,10916,0,14,1,9,22,12,2,2,0,1,2,2,106,26,3
A703952,1,4,13,0,28,1,5,30,18,3,3,1,5,2,2,50,8,5
A713690,0,3,10916,0,730,2,10,12,9,1,2,0,0,0,1,106,26,5
A691838,1,7,1,1,4380,5,2,9,17,3,1,0,0,1,1,60,25,3
A687789,0,3,10916,1,365,3,9,14,18,3,2,1,6,1,1,91,25,1
A704754,1,6,13,0,60,1,7,18,15,2,4,1,5,1,1,106,27,1
A707531,0,3,10916,0,14,1,7,14,15,2,4,0,1,0,1,106,27,5
A677594,0,3,10916,1,90,1,4,26,18,3,3,1,5,0,0,37,27,5
A667155,0,3,10916,0,90,1,11,18,15,2,2,0,0,1,0,109,23,1
A717147,1,7,2,1,150,1,12,15,14,2,5,0,1,1,1,80,25,1
A687012,1,5,58,1,1095,3,2,7,14,2,1,1,6,1,0,11,27,1
A676200,1,7,18,1,2555,5,4,10,11,2,3,0,3,1,0,76,2,5
A676680,1,4,9,1,730,3,2,6,18,3,1,0,4,1,0,97,27,3
A688443,1,6,6,0,120,1,12,29,15,2,5,0,0,1,0,106,27,1
A715261,1,5,7,1,3285,5,11,15,14,2,2,1,6,1,0,91,2,1
A717008,1,3,12,1,210,2,12,6,15,2,5,1,6,1,1,97,27,5
A683416,0,3,10916,0,60,1,7,14,19,3,4,0,0,1,1,106,27,1
A690658,0,3,10916,0,1095,3,10,24,9,1,2,0,4,0,1,106,27,5
A695155,0,3,10916,1,1095,3,1,14,16,3,1,0,2,1,1,28,17,1
A679721,1,5,23,1,1825,5,5,29,17,3,3,0,3,1,1,79,6,1
A719113,1,6,32,1,1825,5,1,28,12,2,1,0,3,1,1,7,25,5
A665298,0,3,10916,0,14,1,10,16,11,2,2,0,2,0,0,109,26,5
A708351,0,3,10916,0,14,1,7,26,14,2,4,1,6,2,2,106,27,5
A670681,1,5,5,0,1460,3,1,30,14,2,1,0,3,1,0,106,5,5
A699990,1,6,7,1,1460,5,4,8,18,3,3,0,2,1,1,28,6,4
A707767,1,5,39,0,60,1,7,19,18,3,4,1,6,1,1,106,25,1
A668362,1,6,44,1,730,3,12,20,12,2,5,0,4,1,0,79,27,4
A674577,1,8,1,1,730,3,3,23,18,3,1,1,6,1,1,18,2,1
A674802,1,8,16,1,3285,5,3,29,11,2,1,1,5,1,1,80,27,4
A672410,1,5,3,1,1825,5,2,11,18,3,1,0,1,1,1,80,3,4
A657753,1,3,3,1,365,3,12,6,16,3,5,0,4,1,1,90,1,3
A663339,1,4,47,1,730,3,10,20,16,3,2,1,6,1,0,60,20,1
A678229,0,3,10916,0,21,1,5,6,15,2,3,0,1,0,1,106,25,5
A698694,1,4,23,1,150,1,7,6,15,2,4,0,0,0,1,60,2,5
A695971,0,3,10916,0,2190,3,1,26,16,3,1,0,0,0,1,106,13,3
A674233,1,5,36,1,365,3,3,22,15,2,1,1,5,1,0,79,6,1
A713392,1,5,7,1,90,1,11,5,0,4,2,0,3,0,1,79,27,5
A713968,1,7,3,0,30,1,10,24,18,3,2,1,5,0,0,114,23,5
A701428,1,4,24,1,1095,3,5,3,16,3,3,1,6,1,0,79,25,4
A676146,1,5,2,1,1825,5,4,14,17,3,3,0,0,1,1,80,27,4
A679259,1,5,13,1,2920,5,5,26,11,2,3,0,0,1,1,71,27,1
A688223,0,3,10916,1,60,1,9,21,14,2,2,1,6,1,0,37,27,1
A691968,0,3,10916,0,2555,4,11,14,11,2,2,0,4,0,0,106,4,3
A688871,1,7,10,0,60,1,10,3,18,3,2,0,4,0,0,106,27,1
A674530,1,7,43,1,1825,5,9,11,17,3,2,0,3,1,1,64,27,1
A718604,1,6,11,1,365,3,1,31,17,3,1,1,6,1,1,60,2,1
A686520,0,3,10916,0,90,1,8,24,9,1,4,1,6,0,1,106,25,5
A699094,1,5,2,1,730,3,3,22,18,3,1,1,6,1,1,79,25,4
A394547,1,12,1,1,3285,5,1,25,11,2,1,1,6,1,0,37,22,4
A662685,1,4,88,1,1095,3,10,22,17,3,2,0,3,1,0,60,11,1
A713977,1,6,1,0,1095,3,10,26,18,3,2,0,0,1,0,106,23,4
A707781,1,5,34,1,365,3,1,15,14,2,1,0,4,1,0,13,27,1
A694699,1,7,11,1,730,3,1,9,15,2,1,0,4,1,0,79,27,5
A696350,1,6,44,1,365,3,12,15,17,3,5,0,1,1,0,64,25,4
A679102,1,6,5,0,730,2,6,10,16,3,4,0,1,1,1,50,19,5
A698341,1,7,1,1,730,3,5,16,15,2,3,1,5,1,0,73,25,4
A681481,0,3,10916,0,730,2,6,18,9,1,4,0,2,0,0,106,26,5
A714177,0,3,10916,0,90,1,10,20,9,1,2,0,1,2,2,106,4,5
A689601,1,4,47,1,30,1,11,23,18,3,2,1,6,1,0,25,3,1
A685062,0,3,10916,0,60,1,8,5,13,2,4,0,1,1,1,106,13,1
A672453,0,3,10916,0,300,2,2,16,19,3,1,1,6,1,1,109,21,1
A719480,1,5,15,0,730,2,2,9,16,3,1,0,1,1,0,109,25,5
A702880,1,3,16,0,60,1,6,28,15,2,4,1,6,1,0,109,23,1
A714494,1,8,3,1,180,1,11,1,19,3,2,1,6,1,1,37,1,1
A711853,1,4,47,0,60,1,11,7,19,3,2,1,5,1,0,106,25,1
A688720,0,3,10916,1,365,3,9,26,18,3,2,0,4,1,0,80,6,1
A689690,1,6,23,1,180,1,10,22,14,2,2,0,2,0,0,80,25,5
A679915,1,4,108,0,365,2,6,1,17,3,4,1,6,1,0,106,27,1
A687991,0,3,10916,0,21,1,9,12,18,3,2,0,4,0,1,106,23,5
A707896,1,5,1,0,730,2,2,19,14,2,1,0,4,1,1,106,25,1
A702014,1,7,55,1,330,2,11,14,13,2,2,1,5,1,0,97,26,1
A673626,0,3,10916,1,90,1,3,3,16,3,1,0,0,1,1,28,3,5
A652097,1,6,44,1,730,3,2,10,12,2,1,0,0,1,0,91,25,4
A685180,1,7,5,1,730,3,9,27,12,2,2,1,5,1,1,60,11,5
A707442,1,6,3,1,730,3,8,15,11,2,4,1,5,1,1,60,25,1
A682599,1,5,3,0,120,1,7,3,18,3,4,0,3,1,0,115,23,1
A685452,0,3,10916,1,120,1,8,11,15,2,4,0,0,0,0,24,11,5
A688067,0,3,10916,0,150,1,9,15,9,1,2,0,0,0,0,106,5,5
A714069,1,7,12,0,60,1,12,16,11,2,5,0,2,1,1,106,27,1
A705924,1,4,4,1,2555,5,7,29,15,2,4,0,2,1,1,79,25,5
A717167,1,5,39,0,1460,3,1,23,16,3,1,1,5,1,1,106,27,1
A711639,0,3,10916,0,21,1,9,10,11,2,2,0,3,0,0,106,4,5
A716760,1,6,10,1,180,1,12,6,17,3,5,1,6,1,1,97,27,1
A709048,1,5,17,1,150,1,8,8,17,3,4,1,5,0,0,37,27,1
A719048,1,6,49,1,2920,5,1,13,11,2,1,0,2,1,0,25,2,4
A707437,0,3,10916,0,60,1,7,19,17,3,4,1,6,1,1,106,27,1
A706387,1,5,48,0,30,1,7,6,18,3,4,0,0,1,0,106,26,1
A720668,0,3,10916,1,150,1,2,15,18,3,1,0,0,1,0,37,2,4
A679341,1,6,3,0,30,1,5,31,13,2,3,1,5,0,1,106,25,5
A690519,0,3,10916,0,120,1,10,23,9,1,2,0,3,0,1,106,26,5
A708769,1,5,1,1,365,3,8,1,11,2,4,1,5,1,0,79,2,1
A681462,1,6,15,1,730,3,8,10,16,3,4,1,6,1,1,31,27,1
A666444,1,6,6,0,4015,5,11,4,15,2,2,0,0,1,0,106,4,5
A701153,0,3,10916,1,60,1,6,25,9,1,4,0,3,1,1,29,3,1
A710071,1,4,3,0,60,1,9,1,0,4,2,0,1,1,1,106,2,5
A714602,1,7,1,0,60,1,10,29,18,3,2,0,3,0,0,106,25,1
A700707,1,6,4,1,30,1,4,20,14,2,3,0,0,1,0,38,27,1
A702563,1,7,1,1,2555,5,5,25,11,2,3,0,0,1,0,27,2,4
A679441,0,3,10916,0,4,1,5,21,13,2,3,0,2,0,1,106,21,5
A715729,1,4,63,1,1460,5,11,9,13,2,2,0,0,1,1,11,2,4
A716575,1,7,9,1,730,3,12,22,0,4,5,0,1,1,0,97,6,5
A714462,1,7,11,1,365,3,11,14,13,2,2,1,5,1,0,37,2,4
A717429,1,5,4,1,730,3,12,9,17,3,5,0,2,1,1,60,25,4
A687336,0,3,10916,0,28,1,9,3,18,3,2,0,2,0,0,109,25,5
A713364,1,7,6,0,365,2,11,13,11,2,2,0,4,0,0,106,27,5
A701999,1,4,108,1,730,3,5,12,17,3,3,0,1,1,0,70,6,1
A664304,0,3,10916,0,300,2,10,3,12,2,2,0,3,0,1,106,13,5
A698066,1,4,6,1,1460,5,3,7,12,2,1,1,5,1,0,97,2,5
A680585,1,6,21,0,120,1,7,16,17,3,4,0,2,1,0,106,25,1
A699715,1,6,10,1,2190,5,5,13,11,2,3,0,2,1,0,40,2,5
A702246,0,3,10916,1,270,2,5,15,17,3,3,0,4,1,0,73,27,1
A711918,1,9,1,1,1095,3,9,19,14,2,2,1,5,1,0,16,11,1
A676430,1,7,13,0,240,2,11,23,12,2,2,1,6,1,0,106,5,1
A677577,1,5,31,1,300,2,5,1,16,3,3,0,3,1,0,99,11,1
A683666,0,3,10916,0,365,2,9,1,0,4,2,0,1,1,1,106,2,5
A713754,1,6,10,1,365,3,10,27,16,3,2,0,1,1,1,97,26,1
A703631,1,6,1,1,365,3,7,3,18,3,4,0,4,1,1,37,27,1
A676209,1,6,19,1,90,1,7,24,15,2,4,0,3,1,1,37,1,1
A667508,1,7,57,1,2190,5,11,19,18,3,2,0,1,0,1,79,22,4
A671105,0,3,10916,0,365,2,1,21,15,2,1,0,1,2,2,114,27,5
A676056,1,6,1,1,730,3,4,10,10,1,3,0,3,1,1,18,6,4
A667963,0,3,10916,1,1825,5,11,30,18,3,2,1,5,1,0,80,6,1
A702207,0,3,10916,0,4380,5,5,10,17,3,3,1,6,1,1,114,13,3
A672065,1,8,10,1,730,3,4,8,12,2,3,0,1,1,0,97,9,1
A688852,1,5,111,1,2190,5,10,18,18,3,2,1,5,1,1,37,27,1
A705885,1,7,1,0,90,1,6,27,18,3,4,1,5,1,1,106,27,1
A670949,1,6,21,1,240,2,2,1,11,2,1,1,5,1,0,7,3,4
A665666,1,5,31,0,365,2,12,27,15,2,5,0,4,1,1,106,27,5
A714575,1,4,12,0,5475,5,10,31,15,2,2,1,5,0,0,106,27,5
A690480,0,3,10916,1,21,1,10,22,17,3,2,0,2,0,0,37,22,5
A691636,1,4,2,1,150,1,11,13,16,3,2,0,3,1,1,19,2,1
A678482,0,3,10916,1,730,3,5,14,19,3,3,0,2,1,1,71,27,1
A687785,1,5,195,1,730,3,12,30,9,1,5,0,1,1,0,80,25,1
A716839,1,4,8,1,730,3,11,27,14,2,2,0,4,0,1,97,25,4
A718547,0,3,10916,1,730,3,1,11,14,2,1,0,0,1,0,37,6,1
A687989,0,3,10916,0,21,1,9,12,18,3,2,0,4,0,0,106,23,5
A694408,1,4,41,1,365,3,5,28,13,2,3,0,3,1,0,60,25,5
A698940,0,3,10916,0,730,2,3,21,9,1,1,1,5,0,1,106,25,5
A666074,1,7,43,0,28,1,10,30,15,2,2,0,2,0,1,106,25,5
A675549,1,5,9,1,1460,5,4,8,15,2,3,0,1,1,1,79,2,5
A682131,0,3,10916,0,21,1,6,24,19,3,4,0,1,0,1,106,25,5
A674737,1,5,4,0,60,1,5,27,8,1,3,0,1,0,1,106,27,1
A719876,1,4,74,1,365,3,2,2,15,2,1,0,1,1,0,28,2,5
A676626,1,3,3,1,60,1,5,30,16,3,3,0,4,1,0,18,25,1
A666478,1,4,7,1,365,3,11,4,17,3,2,0,0,1,0,27,27,1
A683507,0,3,10916,1,1095,3,7,15,17,3,4,0,1,1,0,28,24,1
A487470,1,8,32,1,3285,5,1,20,18,3,1,0,0,1,1,35,27,3
A665661,1,5,5,0,730,2,9,7,15,2,2,0,0,1,0,106,2,4
A668260,0,3,10916,1,1825,5,12,2,14,2,5,0,0,1,0,11,27,5
A716964,1,5,2,1,730,3,11,29,18,3,2,1,6,0,1,79,27,4
A701029,1,4,1,1,730,3,5,1,11,2,3,0,4,1,1,21,25,4
A668506,1,4,48,1,2555,5,11,3,16,3,2,0,1,1,1,99,25,4
A684709,0,3,10916,0,365,2,7,28,9,1,4,0,0,0,0,106,25,5
A616229,1,7,1,0,2190,3,11,21,15,2,2,1,5,1,0,106,27,1
A680336,1,5,111,0,60,1,7,12,20,4,4,1,5,1,1,106,13,1
A701898,1,5,1,1,365,3,5,10,18,3,3,1,6,1,0,79,6,4
A666971,0,3,10916,0,60,1,11,14,17,3,2,0,3,1,1,106,13,1
A691605,1,5,148,1,2190,5,11,8,14,2,2,1,5,1,0,80,25,4
A703244,0,3,10916,0,60,1,5,26,16,3,3,0,1,0,1,106,25,5
A705111,1,4,24,1,730,3,6,24,15,2,4,0,2,1,0,79,25,1
A685460,1,6,1,0,2555,4,8,19,18,3,4,0,1,1,1,50,19,1
A716890,1,7,1,0,90,1,12,6,12,2,5,1,6,1,0,106,25,1
A715741,1,5,38,1,1095,3,11,19,18,3,2,0,3,1,1,73,11,1
A676334,0,3,10916,0,730,2,4,22,15,2,3,0,1,0,0,106,27,5
A668122,0,3,10916,1,2555,5,12,1,17,3,5,1,6,1,0,21,15,1
A702356,0,3,10916,0,30,1,5,24,17,3,3,1,6,0,1,106,2,3
A664842,1,4,23,1,730,3,11,9,19,3,2,1,5,1,0,60,25,4
A709067,1,7,1,1,150,1,8,5,0,4,4,0,2,0,0,7,27,4
A608918,1,5,7,1,1460,5,6,2,11,2,4,0,1,1,1,38,27,5
A651596,1,7,57,1,730,3,3,6,17,3,1,0,3,1,1,37,24,4
A720190,1,12,1,1,2555,5,2,7,0,4,1,1,6,1,0,28,3,5
A676609,1,5,111,1,365,3,7,6,12,2,4,1,6,1,1,36,25,1
A666504,0,3,10916,0,30,1,12,11,12,2,5,0,2,1,1,106,13,5
A693272,1,6,3,1,30,1,1,31,13,2,1,1,5,1,1,98,27,1
A711607,1,5,4,0,60,1,9,20,14,2,2,1,6,1,1,84,2,1
A713337,0,3,10916,0,1095,3,10,6,9,1,2,0,1,0,0,106,26,5
A672758,1,5,148,1,1460,5,7,16,13,2,4,0,2,1,0,27,6,5
A658690,1,9,5,1,365,3,10,19,12,2,2,1,5,1,0,60,27,1
A708390,1,6,49,1,730,3,8,2,18,3,4,1,6,1,0,37,27,1
A703383,1,6,1,1,3650,5,5,28,15,2,3,0,3,1,0,41,24,5
A689749,1,4,13,0,60,1,10,18,16,3,2,1,5,1,1,106,25,1
A699816,1,7,11,1,3650,5,4,11,18,3,3,1,5,1,0,79,6,1
A701791,1,5,4,0,730,2,7,19,14,2,4,1,6,1,0,114,25,1
A625690,1,6,4,1,2555,5,7,21,11,2,4,0,0,1,0,28,2,4
A686406,0,3,10916,1,365,3,8,25,17,3,4,0,0,1,1,27,6,1
A710318,1,4,20,1,1825,5,9,17,13,2,2,0,3,1,1,60,25,5
A698972,1,4,24,1,2190,5,3,23,17,3,1,0,0,1,0,79,27,4
A710380,0,3,10916,0,7,1,8,22,15,2,4,1,5,2,2,106,25,5
A683309,0,3,10916,1,2555,5,7,17,18,3,4,0,3,1,0,60,6,3
A640316,1,4,3,1,365,3,10,2,17,3,2,0,2,1,1,79,27,1
A682760,1,6,46,1,365,3,7,10,12,2,4,0,3,1,1,19,2,1
A701707,0,3,10916,0,14,1,5,3,17,3,3,1,6,0,0,106,13,5
A669534,0,3,10916,0,365,2,12,24,15,2,5,0,1,0,0,106,13,5
A588218,1,5,4,1,1825,5,12,3,14,2,5,0,2,1,1,99,27,4
A669795,1,4,3,1,730,3,8,11,11,2,4,0,0,1,0,7,27,4
A674448,1,6,1,1,300,2,3,18,17,3,1,0,1,1,1,7,2,1
A701647,0,3,10916,0,90,1,5,25,14,2,3,0,0,0,0,106,27,5
A672467,1,6,25,1,270,2,2,14,18,3,1,0,4,1,1,99,20,1
A712244,0,3,10916,0,30,1,9,21,15,2,2,0,0,0,0,106,27,5
A677462,0,3,10916,0,0,1,4,25,15,2,3,0,4,2,2,106,26,5
A715761,0,3,10916,0,1825,3,11,10,9,1,2,0,1,1,0,106,23,5
A720860,0,3,10916,1,240,2,2,20,21,4,1,1,5,1,0,79,22,1
A701337,0,3,10916,1,365,3,4,30,14,2,3,0,3,0,1,28,21,5
A710881,1,4,4,0,60,1,10,14,10,1,2,0,2,1,0,106,13,1
A663948,1,7,26,0,90,1,10,8,17,3,2,0,1,1,1,107,27,4
A699819,1,4,88,1,5110,5,4,6,15,2,3,0,0,0,1,79,22,4
A674638,1,3,59,1,2555,5,3,16,10,1,1,1,6,1,1,37,22,4
A718743,1,6,11,1,730,3,1,10,11,2,1,1,6,1,1,25,17,1
A714820,1,6,15,1,180,1,11,5,0,4,2,0,3,1,0,80,25,5
A667613,1,5,6,1,330,2,1,13,15,2,1,0,0,1,1,97,6,1
A696059,1,5,14,1,1095,3,2,5,14,2,1,0,3,1,1,79,6,1
A690806,1,6,16,0,60,1,11,7,13,2,2,0,4,0,0,114,27,5
A676494,1,5,19,1,365,3,4,27,15,2,3,1,6,1,1,40,27,1
A689138,0,3,10916,0,28,1,9,29,18,3,2,0,0,0,0,50,26,3
A599155,1,7,1,1,1460,5,3,28,19,3,1,1,5,1,1,79,2,3
A665587,1,7,3,0,2920,4,11,27,14,2,2,0,2,1,1,109,13,1
A663555,1,6,14,0,90,1,10,16,17,3,2,0,2,1,0,106,23,1
A691345,1,10,5,1,60,1,11,9,14,2,2,1,6,1,0,97,25,1
A685242,0,3,10916,0,120,1,8,15,12,2,4,0,4,1,0,106,4,1
A674659,0,3,10916,1,730,3,3,21,17,3,1,0,4,0,1,31,6,3
A683609,1,6,17,1,2190,5,7,17,17,3,4,0,3,1,1,80,25,4
A695710,1,5,28,1,330,2,8,2,13,2,4,1,6,1,0,7,25,5
A713063,0,3,10916,1,365,3,10,8,16,3,2,0,3,1,0,37,6,5
A667520,0,3,10916,1,1460,5,11,23,16,3,2,1,5,1,1,70,28,5
A685145,1,5,1,0,60,1,9,13,14,2,2,1,5,1,1,109,26,1
A716488,0,3,10916,1,730,3,11,23,0,4,2,0,0,1,1,60,11,5
A667537,0,3,10916,1,60,1,11,25,17,3,2,0,0,1,0,97,11,1
A694601,1,7,5,0,180,1,1,6,18,3,1,0,1,1,1,106,27,1
A638060,1,4,9,0,2920,4,8,16,17,3,4,1,6,1,1,106,27,1
A672067,1,5,13,0,1095,3,2,13,17,3,1,0,3,1,1,106,25,4
A684664,1,3,63,1,730,3,8,10,17,3,4,1,6,1,1,79,25,1
A691531,0,3,10916,1,60,1,11,7,17,3,2,0,4,0,1,97,2,5
A688600,0,3,10916,0,21,1,9,21,13,2,2,1,6,0,0,106,4,5
A704032,1,7,7,0,60,1,6,5,14,2,4,0,4,1,0,106,25,1
A703630,1,7,6,1,1460,5,6,30,7,1,4,0,1,1,1,97,25,1
A668671,1,5,11,0,1825,3,12,16,14,2,5,0,0,1,1,106,25,5
A696247,1,7,4,1,730,3,11,22,13,2,2,1,6,1,0,37,22,1
A664380,0,3,10916,0,180,1,10,3,15,2,2,0,3,0,0,109,23,5
A678185,0,3,10916,1,730,3,5,9,19,3,3,0,4,1,0,73,27,5
A687055,1,6,15,1,3650,5,9,1,10,1,2,0,0,1,0,75,9,4
A693594,0,3,10916,0,180,1,12,12,9,1,5,0,4,0,1,106,27,5
A675563,1,5,14,0,60,1,4,1,12,2,3,0,1,0,0,106,23,5
A696819,1,7,26,1,180,1,2,21,17,3,1,1,5,1,1,37,9,1
A671201,1,7,3,1,2920,5,1,25,18,3,1,1,5,1,1,79,3,4
A715573,0,3,10916,1,180,1,11,12,12,2,2,0,3,1,1,37,24,1
A685899,0,3,10916,0,90,1,8,14,17,3,4,0,3,0,1,50,8,5
A669510,1,6,1,1,365,3,1,1,18,3,1,0,2,1,0,4,27,1
A697892,1,5,195,1,365,3,3,16,17,3,1,0,0,1,0,79,25,1
A678958,1,4,4,1,60,1,5,19,18,3,3,0,0,1,1,7,3,1
A679113,0,3,10916,0,14,1,5,16,18,3,3,0,4,2,2,106,26,5
A671079,0,3,10916,1,730,3,1,25,18,3,1,1,5,1,0,79,6,1
A687180,0,3,10916,0,60,1,9,8,11,2,2,0,0,1,0,106,13,1
A686632,1,5,37,0,270,2,9,2,11,2,2,0,1,1,1,106,2,4
A693999,0,3,10916,1,1460,5,12,23,14,2,5,0,1,1,0,28,27,5
A691614,1,8,1,1,120,1,11,12,18,3,2,0,2,1,1,10,11,1
A683070,0,3,10916,0,3,1,7,6,18,3,4,1,6,0,1,106,2,5
A703781,1,5,34,1,2190,5,5,30,15,2,3,1,5,0,1,91,26,5
